Upper Niger,Bani,Niger Delta,Sahara Dunes,Niger@Gao,Ka,Oli,Sokoto,Middle Niger,Benue (Upstream),Lower Niger
2853.4,2130.4,2109.1,679.8,640.9,1102.3,593,662.1,668.2,621.3,613.1
2854.2,2132.3,2109.3,691.7,640.9,1200.2,593.2,663.7,668.9,621.9,613.2
2855.9,2134,2110.5,706.6,641.9,1365.3,593.5,669.9,669.1,623.3,613.5
2859.5,2134.5,2111.1,719.1,646.2,1408.7,594.1,675.2,671.5,623.4,614.1
2860.3,2139.6,2115.9,759.4,649.9,1422.1,594.3,684.3,683.4,623.4,615.7
2865.8,2141.3,2116,847.8,651.1,1422.2,595.8,688.3,727.3,623.4,615.9
2875.1,2144,2122.7,895.4,653.1,1584.4,596.2,691.7,744.3,624.1,616.4
2879.3,2145.2,2126.6,913.3,653.1,1601.8,600.3,717.8,749.4,626,616.7
2886.2,2145.7,2127.1,963.3,653.8,1604.5,601,766.2,767.2,630,617.4
2886.6,2146.2,2128,985.8,662.4,1631.8,601.5,783.7,785.3,633.8,617.9
2891.4,2150.7,2132.7,991.1,667.9,1632.4,601.9,784.6,792.8,635.1,619.9
2893.1,2152,2140,1007.8,680.5,1655.4,601.9,836.2,883.2,636.1,620.4
2896.4,2152,2146.3,1013.1,682.2,1656.1,604.9,898,943.1,636.9,620.5
2899.4,2162.1,2151.6,1018.3,702.7,1667.1,606.2,933.4,943.2,637.5,620.8
2907.7,2164.9,2152.5,1060.2,708.6,1671,607.1,984.3,1020,637.7,622.1
2909.9,2167.4,2181.4,1081.5,710.3,1672.7,608.9,987,1058.9,637.8,623.7
2913.8,2178.8,2611.6,1405.2,738.1,1674.4,611.8,987.7,1260.7,640.1,624.1
2913.8,2181.4,2641.4,1407.8,751.9,1680.7,614.7,1007.8,1262,641.4,624.7
2913.9,2190.9,2768.9,1426.4,757.1,1703,615,1013.6,1484.3,642.6,625.9
2917.9,2249,2786.1,1698,757.4,1704.8,615,1034.2,1489.6,642.9,626.1
2921,2262.6,2791.8,1815.7,781.3,1713.5,617.1,1054.1,1503.3,646.4,627.6
2924,2276.4,2797.9,1882.8,784,1722.2,628.8,1063.3,1650.2,649.9,628.4
2926,2466.5,2808.7,1917.3,802.2,1740.4,633.2,1069.1,1794.7,651,629
2929.2,2498.3,2810.5,1977.1,878,1776.1,641.4,1534.6,1795.9,652.8,630.2
2933,2688.1,2812.9,1986.3,937.7,1848,644.1,1650.3,1885.5,654.1,630.5
2961.8,2840.2,2836.1,2008.9,945.6,1860.7,650.1,1661.3,1900.1,656,631.6
2970.6,2896.4,2845.7,2018.6,988.3,1971.7,665,1713.8,1905.4,661.7,634.5
2973.5,3247.1,2851.9,2025.9,989.9,2062.8,788,1924.3,1928.7,665.3,636.1
3012.3,,2857.5,2036.3,998.7,2077.5,845.5,1972.1,1970.1,669.5,639.8
3044.7,,2857.8,2044.9,1035.1,2095.9,881.4,1975.4,1974.9,670.6,643.9
3057.1,,2861.3,2101.2,1051.5,2129.5,1260.2,1991.4,2008.2,677.2,645.8
3071.1,,2861.5,2102.3,1241.1,2167.3,1283.3,2005.8,2013.6,680.7,645.9
3257.7,,2868.6,2107,1521.3,2353.2,1496.8,2045,2038.2,687,646.2
3377.5,,2870.1,2127.1,1545.4,2449.9,1510.8,2085.7,2055.9,687.2,646.7
3558.9,,2882.1,2128.5,1604,2563.9,1515.1,2105.9,2111.8,694.3,647.3
1179.9,,2886.8,2134.3,1629.8,,1547.9,2313.9,2112,700.7,651.8
1203.8,,2898.2,2143.3,1656.9,,1566.8,2487.2,2118.5,708.8,652.1
1400.8,,2912.4,2144.4,1709,,1570,2512.4,2147.1,710.2,652.1
